Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5511,Production,2511,Wheat and products,2013,2013,1000 tonnes,5718,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2511,Wheat and products,2013,2013,1000 tonnes,7630,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2511,Wheat and products,2013,2013,1000 tonnes,1288,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2511,Wheat and products,2013,2013,1000 tonnes,12059,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,7843,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,717,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,814,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,8198,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2514,Maize and products,2013,2013,1000 tonnes,80538,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2514,Maize and products,2013,2013,1000 tonnes,979,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2514,Maize and products,2013,2013,1000 tonnes,26780,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2514,Maize and products,2013,2013,1000 tonnes,54737,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2520,"Cereals, Other",2013,2013,1000 tonnes,184,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,30,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,214,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2531,Potatoes and products,2013,2013,1000 tonnes,3570,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2531,Potatoes and products,2013,2013,1000 tonnes,556,S,Standardized data
